Analyst,FileName,Date,RecordingLocation,PrimateSpecies,CallOnset,CallDuration,CallCompletion,CallDistance,MicUsed,Rain,UndergradComments,SilvyComments
Silvy van Kuijk,HARPIA_20130214_061500,2/14/2013,"Harpia, 5, 800",Howler,6:15:00,0:10:00,"Start, End",4,1,Dry,,
Silvy van Kuijk,HARPIA_20130214_063000,2/14/2013,"Harpia, 5, 800",None,,,,,1,Dry,,
Silvy van Kuijk,HARPIA_20130214_064500,2/14/2013,"Harpia, 5, 800",Howler,6:45:00,0:10:00,"Start, End",4,1,Dry,,
Silvy van Kuijk,HARPIA_20130214_070000,2/14/2013,"Harpia, 5, 800",Howler,7:07:38,0:02:22,End,4,1,Dry,,Unintelligable male voice heard (faint) at start recording
Silvy van Kuijk,HARPIA_20130214_071500,2/14/2013,"Harpia, 5, 800",None,,,,,1,Dry,,
Silvy van Kuijk,HARPIA_20130214_073000,2/14/2013,"Harpia, 5, 800",Howler,7:30:00,0:00:45,Start,4,1,Dry,,
Silvy van Kuijk,HARPIA_20130214_074500,2/14/2013,"Harpia, 5, 800",None,,,,,1,Dry,,
Silvy van Kuijk,HARPIA_20130214_080000,2/14/2013,"Harpia, 5, 800",None,,,,,1,Dry,,Cool recording! Some early morning owls/toads/frogs perhaps?
Silvy van Kuijk,HARPIA_20130211_054500,2/11/2013,"Harpia, 8, 600",None,,,,,1,Rain,,
Silvy van Kuijk,HARPIA_20130211_060000,2/11/2013,"Harpia, 8, 600",None,,,,,1,Rain,,
Silvy van Kuijk,HARPIA_20130211_061500,2/11/2013,"Harpia, 8, 600",None,,,,,1,Rain,,
Silvy van Kuijk,HARPIA_20130211_063000,2/11/2013,"Harpia, 8, 600",None,,,,,1,Rain,,
Silvy van Kuijk,HARPIA_20130211_064500,2/11/2013,"Harpia, 8, 600",None,,,,,1,Rain,,
Silvy van Kuijk,HARPIA_20130211_070000,2/11/2013,"Harpia, 8, 600",None,,,,,1,Rain,,
Silvy van Kuijk,HARPIA_20130211_071500,2/11/2013,"Harpia, 8, 600",None,,,,,1,Rain,,
Silvy van Kuijk,HARPIA_20130211_073000,2/11/2013,"Harpia, 8, 600",None,,,,,1,Drizzle,,
Silvy van Kuijk,HARPIA_20130211_074500,2/11/2013,"Harpia, 8, 600",None,,,,,1,Drizzle,,
Silvy van Kuijk,HARPIA_20130211_080000,2/11/2013,"Harpia, 8, 600",None,,,,,1,Drizzle,,
Silvy van Kuijk,HARPIA_20130212_054500,2/12/2013,"Harpia, 8, 600",None,,,,,1,Dry,,
Silvy van Kuijk,HARPIA_20130212_060000,2/12/2013,"Harpia, 8, 600",None,,,,,1,Dry,,Spectacular looking spectrogram! SO much activity above 1 kHz!
Silvy van Kuijk,HARPIA_20130212_061500,2/12/2013,"Harpia, 8, 600",None,,,,,1,Dry,,
